"Date","Price","Open","High","Low","Vol.","Change %"
"07/07/2026","43.00","42.40","44.00","41.95","7.18M","1.42%"
"07/06/2026","42.40","41.00","42.90","41.10","13.77M","3.41%"
"07/03/2026","41.00","37.90","41.00","38.00","27.85M","8.18%"
"07/02/2026","37.90","38.00","38.75","37.85","15.35M","-0.26%"
"07/01/2026","38.00","38.40","39.25","38.00","7.54M","-1.04%"
"06/30/2026","38.40","39.50","39.70","37.50","9.69M","-2.78%"
"06/29/2026","39.50","39.85","39.75","39.00","13.63M","-0.88%"
"06/26/2026","39.85","39.10","39.85","39.30","8.60M","1.92%"
"06/25/2026","39.10","39.80","40.00","39.10","13.33M","-1.76%"
"06/24/2026","39.80","40.00","40.05","39.80","10.10M","-0.50%"
"06/23/2026","40.00","40.05","42.00","40.00","30.61M","-0.12%"
"06/22/2026","40.05","39.50","41.65","39.55","42.89M","1.39%"
"06/19/2026","39.50","40.40","40.20","39.50","16.33M","-2.23%"
"06/18/2026","40.40","41.20","41.20","40.00","19.76M","-1.94%"
"06/17/2026","41.20","41.40","41.20","41.05","9.88M","-0.48%"
"06/16/2026","41.40","43.00","43.00","41.35","8.70M","-3.72%"
"06/15/2026","43.00","43.00","43.10","42.50","22.79M","0.00%"
"06/12/2026","43.00","43.10","43.00","43.00","106.98M","0.00%"
"06/11/2026","43.00","43.10","43.25","43.00","106.98M","-0.23%"
"06/10/2026","43.10","43.30","43.50","43.00","23.23M","-0.46%"
"06/09/2026","43.30","43.50","43.65","43.25","19.61M","-0.46%"
"06/08/2026","43.50","43.60","44.85","43.50","16.55M","-0.23%"
"06/05/2026","43.60","43.30","43.70","43.20","9.81M","0.69%"
"06/04/2026","43.30","43.10","43.70","43.20","8.97M","0.46%"
"06/03/2026","43.10","44.50","44.10","43.00","24.45M","-3.15%"
"06/02/2026","44.50","44.30","44.95","44.30","16.91M","0.45%"
"06/01/2026","44.30","44.50","44.95","44.20","76.40M","-0.45%"
"05/29/2026","44.50","44.25","44.95","44.15","15.03M","0.79%"
"05/26/2026","44.15","44.60","44.95","43.55","17.06M","-1.01%"
"05/25/2026","44.60","45.00","44.95","44.55","10.30M","-0.89%"
"05/22/2026","45.00","44.80","45.00","44.10","17.71M","0.45%"
"05/21/2026","44.80","45.05","45.30","44.35","11.33M","-0.55%"
"05/20/2026","45.05","44.95","45.45","44.55","20.48M","0.22%"
"05/19/2026","44.95","43.75","45.00","43.70","25.24M","2.74%"
"05/18/2026","43.75","44.00","44.95","43.50","64.97M","-0.57%"
"05/15/2026","44.00","43.70","44.50","43.70","61.60M","0.69%"
"05/14/2026","43.70","43.80","44.05","43.00","44.86M","-0.23%"
"05/13/2026","43.80","43.80","44.40","43.80","74.98M","0.00%"
"05/12/2026","43.80","42.30","45.50","41.00","207.08M","3.55%"
"05/11/2026","42.30","40.00","43.00","40.50","38.32M","5.75%"
"05/08/2026","40.00","40.00","40.25","39.95","96.15M","0.00%"
"05/07/2026","40.00","41.00","41.00","39.95","50.20M","-2.44%"
"05/06/2026","41.00","42.00","42.00","40.55","38.25M","-2.38%"
"05/05/2026","42.00","42.80","43.00","41.90","38.51M","-1.87%"
"05/04/2026","42.80","42.75","44.00","42.50","32.11M","0.12%"
"04/30/2026","42.75","44.00","44.30","42.55","88.99M","-2.84%"
"04/29/2026","44.00","41.00","45.85","41.00","160.61M","-1.23%"
"04/28/2026","44.55","44.55","44.55","44.55","28.41M","-10.00%"
"04/27/2026","49.50","49.50","49.50","49.50","10.53M","-10.00%"
"04/24/2026","55.00","53.50","55.20","52.80","43.12M","2.80%"
"04/23/2026","53.50","53.20","54.40","53.00","37.54M","0.56%"
"04/22/2026","53.20","50.20","53.40","49.95","55.26M","5.98%"
"04/21/2026","50.20","52.00","52.40","48.50","43.58M","-3.46%"
"04/20/2026","52.00","48.00","52.65","48.00","52.57M","8.33%"
"04/17/2026","48.00","46.00","49.85","45.85","54.59M","4.35%"
"04/16/2026","46.00","46.00","46.25","45.90","45.86M","2.11%"
"04/15/2026","45.05","46.60","46.50","45.05","49.85M","-3.33%"
"04/14/2026","46.60","46.60","47.00","46.60","18.09M","0.00%"
"04/13/2026","46.60","47.00","47.00","46.60","10.80M","-0.85%"
"04/10/2026","47.00","46.80","47.05","46.80","38.88M","0.43%"
"04/09/2026","46.80","45.50","46.90","45.50","29.03M","2.86%"
"04/08/2026","45.50","45.00","46.40","45.05","33.83M","1.11%"
"04/07/2026","45.00","45.90","46.00","43.20","42.21M","-2.07%"
"04/06/2026","45.95","46.15","45.95","45.95","20.94M","0.00%"
"04/02/2026","45.95","46.15","46.40","45.95","20.94M","-0.43%"
"04/01/2026","46.15","46.40","46.85","45.95","34.78M","-0.54%"
"03/31/2026","46.40","46.75","46.75","46.00","15.80M","-0.75%"
"03/30/2026","46.75","46.70","47.00","46.60","13.05M","0.11%"
"03/27/2026","46.70","46.75","46.85","46.65","17.65M","-0.11%"
"03/26/2026","46.75","47.20","47.45","46.75","18.12M","-0.95%"
"03/25/2026","47.20","47.90","48.40","47.20","14.61M","-1.46%"
"03/24/2026","47.90","48.40","48.40","47.90","119.05M","-1.03%"
"03/23/2026","48.40","48.75","50.00","48.40","114.17M","-0.72%"
"03/18/2026","48.75","50.90","50.90","48.10","26.95M","-4.22%"
"03/17/2026","50.90","48.00","51.00","48.00","98.44M","6.04%"
"03/16/2026","48.00","45.50","48.00","45.50","54.56M","5.49%"
"03/13/2026","45.50","45.90","46.00","45.50","14.05M","-0.87%"
"03/12/2026","45.90","46.10","47.00","45.90","12.32M","-0.43%"
"03/11/2026","46.10","46.45","46.50","46.00","18.84M","-0.75%"
"03/10/2026","46.45","47.00","47.00","46.00","12.52M","-1.17%"
"03/09/2026","47.00","47.60","48.50","47.00","16.89M","-1.26%"
"03/06/2026","47.60","47.65","47.80","47.60","11.67M","-0.10%"
"03/05/2026","47.65","47.60","47.80","47.55","18.08M","0.11%"
"03/04/2026","47.60","47.05","47.60","47.20","29.72M","1.17%"
"03/03/2026","47.05","47.20","48.00","47.00","37.45M","-0.32%"
"03/02/2026","47.20","48.80","48.95","47.00","43.02M","-3.28%"
"02/27/2026","48.80","47.05","49.00","47.05","14.66M","2.95%"
"02/26/2026","47.40","48.95","48.95","47.05","25.54M","-3.27%"
"02/25/2026","49.00","50.20","50.30","47.80","52.31M","-2.39%"
"02/24/2026","50.20","49.50","50.40","49.65","43.86M","1.41%"
"02/23/2026","49.50","49.00","49.75","49.00","33.82M","1.02%"
"02/20/2026","49.00","48.00","49.40","48.30","24.34M","2.08%"
"02/19/2026","48.00","47.00","48.25","47.55","13.15M","2.13%"
"02/18/2026","47.00","46.30","47.20","46.70","17.71M","1.51%"
"02/17/2026","46.30","49.55","49.95","46.30","36.51M","-6.56%"
"02/16/2026","49.55","48.30","50.00","48.50","35.25M","2.59%"
"02/13/2026","48.30","47.50","48.90","47.70","25.38M","1.68%"
"02/12/2026","47.50","46.10","47.50","46.10","20.07M","1.06%"
"02/11/2026","47.00","46.05","47.00","46.05","17.33M","2.06%"
"02/10/2026","46.05","44.80","46.95","44.90","18.43M","2.79%"
"02/09/2026","44.80","44.20","44.80","44.20","12.40M","1.36%"
"02/06/2026","44.20","44.15","44.50","44.05","18.82M","0.11%"
"02/05/2026","44.15","44.05","44.90","43.95","10.64M","0.23%"
"02/04/2026","44.05","43.00","44.30","43.00","13.93M","2.44%"
"02/03/2026","43.00","44.30","44.30","42.95","14.97M","-2.93%"
"02/02/2026","44.30","44.30","44.60","43.90","13.42M","0.00%"
"01/30/2026","44.30","44.50","44.60","44.10","13.15M","-0.45%"
"01/29/2026","44.50","44.50","45.80","44.50","11.61M","0.00%"
"01/28/2026","44.50","44.85","45.30","44.50","8.92M","-0.78%"
"01/27/2026","44.85","44.50","45.00","44.50","6.15M","0.79%"
"01/26/2026","44.50","43.90","44.90","44.00","6.19M","1.37%"
"01/23/2026","43.90","44.50","44.55","43.90","6.95M","-1.35%"
"01/22/2026","44.50","44.90","45.00","44.00","8.57M","-0.89%"
